"id","name","broader","narrower","used_for","related"
"XX36359","Law enforcement - Prisons","Law enforcement","","Prisons","Law enforcement - Juvenile detention centres"
"XX105893","Law enforcement - Prisons - Prisoners","Law enforcement - Prisons","","Prisoners",""
"XX105894","Law enforcement - Prisons - Prisoners - Men","Law enforcement - Prisons - Prisoners","","Prisoners - Men","Law enforcement - Prisons - Prisoners - Women"
"XX105895","Law enforcement - Prisons - Prisoners - Women","Law enforcement - Prisons - Prisoners","","Prisoners - Women","Law enforcement - Prisons - Prisoners - Men"
"XX98043","Law enforcement - Punishment","Law enforcement","","","Social behaviour - Social deviance - Punishment"
"XX176782","Law enforcement - Punishment - Executions","Law enforcement - Punishment","","Punishment - Executions;Executions",""
"XX103259","Law enforcement - Punishment - Imprisonment alternatives","Law enforcement - Punishment","","Punishment - Imprisonment alternatives;Imprisonment alternatives","Social behaviour - Social deviance - Punishment - Imprisonment alternatives"
"XX103260","Law enforcement - Punishment - Sentencing","Law enforcement - Punishment","","","Social behaviour - Social deviance - Punishment - Sentencing"
"XX36050","Libraries","","","",""
"XX104102","Libraries - Associations and networks","Libraries","","Libraries - Networks;Associations and networks - Libraries;Networks - Libraries",""
"XX36051","Libraries - Cataloguing, classification and indexing","Libraries","","",""
"XX36052","Libraries - Collections and acquisitions","Libraries","","",""
"XX36053","Libraries - Conservation issues","Libraries","","",""
"XX126455","Libraries - Digital materials and services","Libraries","","Digitised library material;Digital resources (Libraries)",""
"XX95905","Libraries - Indigenous knowledge centres","Libraries","","Indigenous knowledge centres",""
"XX36054","Libraries - Interlibrary loans and cooperation","Libraries","","",""
"XX111763","Libraries - Librarianship","Libraries","","Librarianship","Occupations - Librarians"
"XX36055","Libraries - Public libraries","Libraries","","Public libraries",""
"XX36056","Libraries - Reference and user services","Libraries","","",""
"XX36067","Libraries - Reference materials","Libraries","","",""
"XX95564","Libraries - Reference materials - Abstracts","Libraries - Reference materials","","Abstracts;Library reference materials - Abstracts",""
"XX36058","Libraries - Reference materials - Bibliographies","Libraries - Reference materials","","Library reference materials - Bibliographies;Reference materials - Library - Bibliographies;Bibliographies",""
"XX36059","Libraries - Reference materials - Computers","Libraries - Reference materials","","Library reference materials - Computers",""
"XX36060","Libraries - Reference materials - Dictionaries","Libraries - Reference materials","","Dictionaries","Language - Vocabulary - Dictionaries and glossaries"
"XX70754","Libraries - Reference materials - Directories","Libraries - Reference materials","","Directories;Library reference materials - Directories",""
"XX36061","Libraries - Reference materials - Encyclopaedias","Libraries - Reference materials","","Library reference materials - Encyclopaedias;Encyclopaedias;Encyclopedias",""
"XX88043","Libraries - Reference materials - Indexes","Libraries - Reference materials","","Indexes;Library reference materials - Indexes",""
"XX36062","Libraries - Reference materials - Library holdings","Libraries - Reference materials","","Library reference materials - Library holdings;Library holdings",""
"XX36063","Libraries - Reference materials - Maps, gazetteers, geographic information","Libraries - Reference materials","","Library reference materials - Maps, gazetteers, geographic information;Maps, gazetteers, geographic information;Gazeteers, geographic information",""
"XX36064","Libraries - Reference materials - Museums","Libraries - Reference materials","","Library reference materials - Museums",""
"XX36065","Libraries - Reference materials - Tertiary and research institutions","Libraries - Reference materials","","Library reference materials - Tertiary and research institutions",""
"XX36066","Libraries - Reference materials - Yearbooks","Libraries - Reference materials","","Library reference materials - Yearbooks;Yearbooks",""
"XX36057","Libraries - School libraries","Libraries","","School libraries",""
"XX104111","Literature and stories","","","Literature;Stories","Stories and motifs"
"XX141233","Literature and stories - Appropriation","Literature and stories","","Appropriation in literature",""
"XX141235","Literature and stories - Authenticity","Literature and stories","","Literary forgeries;Authenticity in literature","Literature and stories - Hoaxes"
"XX35258","Literature and stories - Authors","Literature and stories","","Authors;Writers",""
"XX35254","Literature and stories - Authors - Drama","Literature and stories - Authors","","Authors - Drama;Playwrights",""
"XX35255","Literature and stories - Authors - Fiction","Literature and stories - Authors","","Authors - Fiction;Novelists;Short story writers;Writers - Fiction",""
"XX35256","Literature and stories - Authors - Poetry","Literature and stories - Authors","","Authors - Poetry;Poets",""
"XX35257","Literature and stories - Authors - Training and workshops","Literature and stories - Authors","","Authors - Training and workshops;Writing workshops",""
"XX43198","Literature and stories - Awards and prizes","Literature and stories","","Awards, Literature;Awards, Prizes;Literature prizes;Literary prizes;Literary awards",""
"XX35934","Literature and stories - Comic strips and books","Literature and stories","","Comic strips and books;Comics",""
"XX36071","Literature and stories - Criticism and analysis","Literature and stories","","Literature and stories - Analysis and criticism;Literary criticism and analysis;Literary analysis and criticism;Book reviewing",""
"XX36076","Literature and stories - Fiction","Literature and stories","","Literature, Imaginative - Fiction;Fiction;Novels",""
"XX149533","Literature and stories - Fiction - Life writing","Literature and stories - Fiction","","Fiction - Life histories;Autobiographical fiction;Life writing",""
"XX36073","Literature and stories - Grants and finance","Literature and stories","","Literary grants;Literature - Grants and finance","Finance"
"XX141234","Literature and stories - Hoaxes","Literature and stories","","Literary hoaxes;Fictitious authors","Literature and stories - Authenticity"
"XX35935","Literature and stories - Juvenile","Literature and stories","","Juvenile stories and literature;Stories for children and teenagers;Children's stories",""
"XX36074","Literature and stories - Non fiction","Literature and stories","","Non-fiction",""
"XX36075","Literature and stories - Non fiction - Scientific and professional","Literature and stories - Non fiction","","Scientific and professional literature;Non fiction - Scientific and professional",""
"XX36077","Literature and stories - Plays","Literature and stories","","Literature and stories - Drama;Literature, Imaginative - Drama;Literature, Imaginative - Plays;Plays;Drama",""
"XX36078","Literature and stories - Poetry","Literature and stories","","Literature, Imaginative - Poetry;Poetry",""
"XX36370","Literature and stories - Publishing","Literature and stories","","Publishing",""
"XX36369","Literature and stories - Publishing - Aboriginal Studies Press","Literature and stories - Publishing","","Aboriginal Studies Press",""
"XX106274","Literature and stories - Story telling and story tellers","Literature and stories","","Story telling;Story tellers;Stories and motifs - Story tellers",""
"XX159074","Literature and stories - Story telling and story tellers - Sand drawing","Literature and stories - Story telling and story tellers","","Story telling - Sand drawing",""
"XX100912","Magic and sorcery","","","Sorcery",""
"XX100915","Magic and sorcery - Amulets and charms","Magic and sorcery","","Amulets and charms;Charms",""
"XX36545","Magic and sorcery - Bone pointing","Magic and sorcery","","Bone pointing;Sorcery - Bone pointing",""
"XX35393","Magic and sorcery - Clever people","Magic and sorcery","","Clever people - Magic and sorcery;Shamans","Religion"
"XX36546","Magic and sorcery - Divination","Magic and sorcery","","Divination;Sorcery - Divination",""
"XX36829","Magic and sorcery - Kidney fat removal","Magic and sorcery","","Kidney fat removal",""
"XX35329","Magic and sorcery - Love magic","Magic and sorcery","","Love magic",""
"XX39511","Material culture","","","","Anthropology;Technology"
"XX36616","Material culture - Animal tooth objects and decorations","Material culture","","Animal tooth objects and decorations;Technology - Animal tooth objects and decorations",""
"XX36619","Material culture - Bark objects","Material culture","","Bark objects;Technology - Bark objects",""
"XX36620","Material culture - Bird feather objects and decorations","Material culture","","Bird feather objects and decorations;Feather objects and decorations;Technology - Bird feather objects and decorations",""
"XX36630","Material culture - Fur and skin objects and decorations","Material culture","","Fur and skin objects and decorations;Animal fur and skin objects and decorations;Skin objects and decorations (Animal skin);Technology - Fur and skin objects and decorations",""
"XX36632","Material culture - Human hair objects and decorations","Material culture","","Human hair objects and decorations;Hair objects and decorations (Human hair);Technology - Human hair objects and decorations",""
"XX36642","Material culture - Shell objects and decorations","Material culture","","Shell objects and decorations;Technology - Shell objects and decorations","Art - Crafts - Shell works"
"XX36658","Material culture - String and rope making","Material culture","","String and rope making;Rope making;Technology - String and rope making",""
"XX43242","Material culture - Turtle / tortoise shell objects and decorations","Material culture","","Material culture - Tortoise / turtle shell objects and decorations;Turtle / tortoise shell objects and decorations;Tortoise / turtle shell objects and decorations;Technology - Turtle / tortoise shell objects and decorations;Technology -Tortoise / turtle shell objects and decorations","Material culture - Shell objects and decorations;Art - Crafts - Shell works"
"XX36667","Material culture - Woven objects","Material culture","","Woven objects;Technology - Woven objects","Art - Crafts - Weaving"
"XX36114","Media","","","Mass media",""
"XX36112","Media - Associations and cooperatives","Media","","Associations and cooperatives - Media;Cooperatives - Media",""
"XX36105","Media - Broadcast media","Media","","Broadcast media",""
"XX100968","Media - Broadcast media - Internet","Media - Broadcast media","","Internet - media",""
"XX36108","Media - Broadcast media - Radio","Media - Broadcast media","","Media - Radio;Radio - Media;Radio broadcasting;Broadcasting, Radio",""
"XX36110","Media - Broadcast media - Television","Media - Broadcast media","","Media - Television;Television - Media;Television broadcasting;Broadcasting, Television;TV broadcasting",""
"XX100972","Media - Film","Media","","Film - Media",""
"XX36106","Media - Journalism","Media","","Journalism;Press (Media)",""
"XX82098","Media - Law and legislation","Media","","",""
"XX36113","Media - Personalities, producers etc.","Media","","Personalities, producers etc - Media;Radio personalities;Television personalities","Media - Journalism"
"XX36107","Media - Print media","Media","","Print media;Newspaper and magazine publishing;Newspapers;Magazine publishing",""
"XX36109","Media - Remote area broadcasting","Media - Broadcast media","","Remote area broadcasting;Broadcasting, Remote area",""
"XX100973","Media - Theory and criticism","Media","","Theory and criticism - Media",""
"XX36111","Media - Video recordings","Media","","Video recordings",""
"XX36115","Mental health","","","","Health"
"XX97682","Mental health - Dementia","Mental health","","Dementia",""
"XX101004","Mental health - Depression","Mental health","","Depression - Mental health",""
"XX194158","Mental health - Intergenerational trauma","Mental health","","Intergenerational trauma;Transgenerational trauma;Generational trauma",""
"XX148761","Mental health - Psychosis","Mental health","","Psychosis",""
"XX36118","Mental health - Services","Mental health","","Psychiatric services;Mental health services",""
"XX36117","Mental health - Suicide","Mental health","","Suicide",""
"XX151113","Mental health - Wellbeing","Mental health","","Wellbeing;Social and emotional wellbeing",""
"XX151115","Mental health - Wellbeing - Emotional","Mental health - Wellbeing","","Emotional wellbeing;Emotional well being",""
"XX151114","Mental health - Wellbeing - Social","Mental health - Wellbeing","","Social wellbeing;Social well being",""
"XX36134","Mining industry","","","",""
"XX164505","Mining industry - Agreements - Royalties","Mining industry","","Mining royalties;Royalties - Mining",""
"XX36121","Mining industry - Asbestos","Mining industry","","Asbestos mining",""
"XX43273","Mining industry - Bauxite / Aluminium","Mining industry","","Mining industry - Aluminium / Bauxite;Bauxite;Aluminium",""
"XX36122","Mining industry - Coal","Mining industry","","Coal mining",""
"XX36123","Mining industry - Copper","Mining industry","","Copper mining",""
"XX36124","Mining industry - Diamond","Mining industry","","Diamond mining",""
"XX104133","Mining industry - Exploration","Mining industry","","Exploration - Mining industry;Mining exploration",""
"XX36125","Mining industry - Gold","Mining industry","","Gold mining",""
"XX36126","Mining industry - Iron ore","Mining industry","","Mining - Iron ore;Iron ore mining",""
"XX36127","Mining industry - Manganese","Mining industry","","Manganese mining",""
"XX36128","Mining industry - Mine workers","Mining industry","","Mine workers","Occupations - Miners"
"XX36129","Mining industry - Nickel","Mining industry","","Nickel mining",""
"XX36130","Mining industry - Opal","Mining industry","","Opal mining",""
"XX110885","Mining industry - Rutile","Mining industry","","Rutile mining",""
"XX36131","Mining industry - Sand","Mining industry","","Sand mining",""
"XX36132","Mining industry - Tin","Mining industry","","Tin mining",""
"XX36133","Mining industry - Uranium","Mining industry","","Uranium mining",""
"XX43274","Mining industry - Zinc","Mining industry","","Zinc mining",""
"XX36152","Music","","","",""
"XX102552","Music - Analysis","Music","","Songs - Analysis",""
"XX36192","Music - Analysis - Vocal","Music - Analysis","","Music - Vocal - Analysis",""
"XX36160","Music - Church music","Music","","Church music",""
"XX36158","Music - Church music - Hymns, Choruses and Carols","Music - Church music","","Hymns, Choruses and Carols;Choruses (Church music);Carols (Religious music)",""
"XX36159","Music - Church music - Liturgical music","Music - Church music","","Liturgical music",""
"XX36162","Music - Classical Western","Music","","Classical Western",""
"XX102553","Music - Contemporary","Music","","Contemporary music",""
"XX36155","Music - Contemporary - Blues and jazz","Music - Contemporary","","Music - Blues and jazz;Blues and jazz;Jazz",""
"XX102554","Music - Contemporary - Choral","Music - Contemporary","","Choral music",""
"XX36163","Music - Contemporary - Country and Western","Music - Contemporary","","Music - Country and Western;Country and Western music",""
"XX102555","Music - Contemporary - Dance","Music - Contemporary","","Dance music",""
"XX36166","Music - Contemporary - Electronic","Music - Contemporary","","Electronic music",""
"XX36168","Music - Contemporary - Gospel","Music - Contemporary","","Gospel music;Music - Gospel",""
"XX102558","Music - Contemporary - Hip Hop","Music - Contemporary","","Hip Hop",""
"XX102559","Music - Contemporary - Hip Hop - DJs","Music - Contemporary - Hip Hop","","DJs, Hip Hop",""
"XX36175","Music - Contemporary - Island dance","Music - Contemporary","","Island dance music;Music - Island dance",""
"XX102561","Music - Contemporary - Orchestral","Music - Contemporary","","Orchestral music",""
"XX36183","Music - Contemporary - Popular","Music - Contemporary","","Popular music;Music - Popular and non ceremonial Music",""
"XX103500","Music - Contemporary - Rap","Music - Contemporary","","Rap music;Music - Rap",""
"XX36187","Music - Contemporary - Reggae","Music - Contemporary","","Music - Reggae;Reggae music",""
"XX36188","Music - Contemporary - Rock and pop","Music - Contemporary","","Music - Rock and pop;Pop music;Rock and pop music",""
"XX36208","Music - Education","Music","","","Education - Skills and curriculum"
"XX36167","Music - Elicitation techniques","Music","","",""
"XX102564","Music - Festivals","Music","","Festivals - Music",""
"XX36169","Music - Grants and finance","Music","","","Finance"
"XX36174","Music - Instrumental","Music","","Instrumental music",""
"XX36173","Music - Instrumental - Mixed instruments","Music - Instrumental","","Instrumental music - Mixed instruments",""
"XX64397","Music - Instruments","Music","","Musical instruments",""
"XX102569","Music - Instruments - Electronic","Music - Instruments","","Electronic musical instruments;Musical instruments, Electronic",""
"XX36176","Music - Instruments - Keyboard","Music - Instruments","","Music - Keyboard;Keyboard - Musical instruments",""
